,RegionName,Date,House Prices
0,South Dorchester,1996-04-01,69100.0
1,East Boston,1996-04-01,60500.0
2,Jamaica Plain,1996-04-01,87900.0
3,Brighton,1996-04-01,
4,Mattapan,1996-04-01,79100.0
5,South Boston,1996-04-01,
6,Hyde Park,1996-04-01,89900.0
7,Roslindale,1996-04-01,91100.0
8,West Roxbury,1996-04-01,131900.0
9,South End,1996-04-01,181800.0
10,North Dorchester,1996-04-01,71700.0
11,Allston,1996-04-01,99100.0
12,Fenway,1996-04-01,138700.0
13,Back Bay,1996-04-01,318700.0
14,Charlestown,1996-04-01,185500.0
15,Kenmore,1996-04-01,143700.0
16,North End,1996-04-01,203900.0
17,Beacon Hill,1996-04-01,
18,West End,1996-04-01,
19,Downtown,1996-04-01,322500.0
20,Bay Village,1996-04-01,289400.0
21,South Dorchester,1996-05-01,69900.0
22,East Boston,1996-05-01,59700.0
23,Jamaica Plain,1996-05-01,88400.0
24,Brighton,1996-05-01,
25,Mattapan,1996-05-01,80600.0
26,South Boston,1996-05-01,
27,Hyde Park,1996-05-01,91700.0
28,Roslindale,1996-05-01,92100.0
29,West Roxbury,1996-05-01,132100.0
30,South End,1996-05-01,181900.0
31,North Dorchester,1996-05-01,71800.0
32,Allston,1996-05-01,99500.0
33,Fenway,1996-05-01,136100.0
34,Back Bay,1996-05-01,324200.0
35,Charlestown,1996-05-01,184300.0
36,Kenmore,1996-05-01,143400.0
37,North End,1996-05-01,204200.0
38,Beacon Hill,1996-05-01,
39,West End,1996-05-01,
40,Downtown,1996-05-01,325900.0
41,Bay Village,1996-05-01,289000.0
42,South Dorchester,1996-06-01,70600.0
43,East Boston,1996-06-01,59000.0
44,Jamaica Plain,1996-06-01,89300.0
45,Brighton,1996-06-01,
46,Mattapan,1996-06-01,81800.0
47,South Boston,1996-06-01,
48,Hyde Park,1996-06-01,92500.0
49,Roslindale,1996-06-01,93400.0
50,West Roxbury,1996-06-01,133200.0
51,South End,1996-06-01,182800.0
52,North Dorchester,1996-06-01,71800.0
53,Allston,1996-06-01,101500.0
54,Fenway,1996-06-01,134300.0
55,Back Bay,1996-06-01,329000.0
56,Charlestown,1996-06-01,183700.0
57,Kenmore,1996-06-01,141800.0
58,North End,1996-06-01,205700.0
59,Beacon Hill,1996-06-01,
60,West End,1996-06-01,
61,Downtown,1996-06-01,329100.0
62,Bay Village,1996-06-01,282500.0
63,South Dorchester,1996-07-01,70900.0
64,East Boston,1996-07-01,58800.0
65,Jamaica Plain,1996-07-01,91100.0
66,Brighton,1996-07-01,
67,Mattapan,1996-07-01,81700.0
68,South Boston,1996-07-01,
69,Hyde Park,1996-07-01,92800.0
70,Roslindale,1996-07-01,94600.0
71,West Roxbury,1996-07-01,134500.0
72,South End,1996-07-01,184600.0
73,North Dorchester,1996-07-01,71900.0
74,Allston,1996-07-01,102800.0
75,Fenway,1996-07-01,133700.0
76,Back Bay,1996-07-01,331900.0
77,Charlestown,1996-07-01,181800.0
78,Kenmore,1996-07-01,141400.0
79,North End,1996-07-01,206100.0
80,Beacon Hill,1996-07-01,
81,West End,1996-07-01,
82,Downtown,1996-07-01,330800.0
83,Bay Village,1996-07-01,276400.0
